"","BEGIN_YEARMONTH","BEGIN_DAY","BEGIN_TIME","BEGIN_DATE_TIME","CZ_TIMEZONE","YEAR","STATE","Code","EVENT_TYPE","CZ_NAME","TOR_F_SCALE","BEGIN_LAT","BEGIN_LON","timestamp","avg_estimated_wind","F_scale"
"87",195405,1,1415,"01-MAY-54 14:15:00","CST",1954,"TEXAS","TX","TORNADO","WILBARGER","F4",34.07,-99.47,1954-05-01 14:15:00,233.5,"F4, 207-260 mph"
"88",195405,1,1900,"01-MAY-54 19:00:00","CST",1954,"TEXAS","TX","TORNADO","JACK","F1",33.43,-98.38,1954-05-01 19:00:00,92.5,"F1, 73-112 mph"
"89",195405,1,2100,"01-MAY-54 21:00:00","CST",1954,"TEXAS","TX","TORNADO","FANNIN","F1",33.6,-96.18,1954-05-01 21:00:00,92.5,"F1, 73-112 mph"
"90",195405,1,2115,"01-MAY-54 21:15:00","CST",1954,"TEXAS","TX","TORNADO","CLAY","F2",33.55,-98.15,1954-05-01 21:15:00,13,"F2, 113-157 mph"
"91",195405,2,100,"02-MAY-54 01:00:00","CST",1954,"TEXAS","TX","TORNADO","COMANCHE","F1",32.12,-98.55,1954-05-02 01:00:00,92.5,"F1, 73-112 mph"
"92",195405,2,650,"02-MAY-54 06:50:00","CST",1954,"TEXAS","TX","TORNADO","GREGG","F2",32.53,-94.95,1954-05-02 06:50:00,13,"F2, 113-157 mph"
"93",195405,2,1500,"02-MAY-54 15:00:00","CST",1954,"TEXAS","TX","TORNADO","HENDERSON","F3",32.22,-95.67,1954-05-02 15:00:00,182,"F3, 158-206 mph"
"94",195405,6,800,"06-MAY-54 08:00:00","CST",1954,"TEXAS","TX","TORNADO","HUNT","F1",33.27,-96.02,1954-05-06 08:00:00,92.5,"F1, 73-112 mph"
"95",195405,6,1500,"06-MAY-54 15:00:00","CST",1954,"TEXAS","TX","TORNADO","EASTLAND","F1",32.2,-99.08,1954-05-06 15:00:00,92.5,"F1, 73-112 mph"
"96",195405,10,1430,"10-MAY-54 14:30:00","CST",1954,"TEXAS","TX","TORNADO","LEON","F1",31.05,-96.13,1954-05-10 14:30:00,92.5,"F1, 73-112 mph"
"97",195404,21,2115,"21-APR-54 21:15:00","CST",1954,"TEXAS","TX","TORNADO","GARZA","F0",33.07,-101.53,1954-04-21 21:15:00,56,"F0, 40-72 mph"
